country,birth,code,region,lat,long
Afghanistan,34.1,AFG,Asia,33,65
Albania,12.9,ALB,Europe,41,20
Algeria,24.3,ALG,Africa,28,3
Andorra,8.9,AND,Europe,42.5,1.6
Angola,44.1,AGO,Africa,-12.5,18.5
Antigua and Barbuda,16.5,ATG,America,17.05,-61.8
Argentina,16.8,ARG,America,-34,-64
Armenia,13.7,ARM,Europe,40,45
Australia,13.2,AUS,Oceania,-27,133
Austria,9.5,AUT,Europe,47.3333,13.3333
Azerbaijan,17.8,AZE,Europe,40.5,47.5
Bahamas,15.3,BHS,America,24.25,-76
Bahrain,15.2,BHR,Asia,26,50.55
Bangladesh,20,BGD,Asia,24,90
Barbados,12.7,BRB,America,13.1667,-59.5333
Belarus,11,BLR,Europe,53,28
Belgium,11.7,BEL,Europe,50.8333,4
Belize,23.4,BLZ,America,17.25,-88.75
Benin,36.4,BEN,Africa,9.5,2.25
Bhutan,19.6,BTN,Asia,27.5,90.5
Bolivia,25.7,BOL,America,-17,-65
Bosnia and Herzegovina,9,BIH,Europe,44,18
Botswana,23.6,BVA,Africa,-22,24
Brazil,14.9,BRA,America,-10,-55
Brunei Darussalam,15.5,BRN,Asia,4.5,114.6667
Bulgaria,9.6,BUL,Europe,43,25
Burkina Faso,40.9,BFA,Africa,13,-2
Burundi,44.7,BUR,Africa,-3.5,30
Cape Verde,20.1,CPV,Africa,16,-24
Cambodia,25.7,CHM,Asia,13,105
Cameroon,37.3,CMR,Africa,6,12
Canada,11.3,CAN,America,59,-114
Central African Republic,34.2,CAF,Africa,7,21
Chad,45.9,TCD,Africa,15,19
Chile,13.9,CHL,America,-30,-71
China,13.3,CHN,Asia,35,105
Colombia,18.8,COL,America,4,-72
Comoros,35.2,COM,Africa,-12.1667,44.25
Republic of the Congo,37.6,COG,Africa,-1,15
Cook Islands,14.9,COK,Asia,-21.2333,-159.7667
Costa Rica,15.1,CRI,America,10,-84
Ivory Coast,36.6,CIV,Africa,8,-5
Croatia,9.5,HRV,Europe,45.1667,15.5
Cuba,9.5,CUB,America,21.5,-80
Cyprus,11.5,CYP,Europe,35,33
Czech Republic,11.1,CZE,Europe,49.75,15.5
North Korea,14.4,KOR,Asia,40,127
Democratic Republic of the Congo,42.7,COD,Africa,0,25
Denmark,11.3,DNK,Europe,56,10
Djibouti,27.5,DJI,Africa,11.5,43
Dominica,15.6,DMA,America,15.4167,-61.3333
Dominican Republic,20.8,DOM,America,19,-70.6667
Ecuador,20.8,ECU,America,-2,-77.5
Egypt,23.2,EGY,Africa,27,30
El Salvador,20.1,SLV,America,13.8333,-88.9167
Equatorial Guinea,35.4,GNQ,Africa,2,10
Eritrea,36.7,ERI,Africa,15,39
Estonia,10.9,EST,Europe,59,26
Ethiopia,33,ETH,Africa,8,38
Fiji,20.4,FJI,Oceania,-18,175
Finland,11.2,FIN,Europe,64,26
France,12.3,FRA,Europe,46,2
French Guiana,20.46,GUF,America,4.234422,-53.128079
Gabon,31.9,GAB,Africa,-1,11.75
Gambia,42.7,GMB,Africa,13.4667,-16.5667
Georgia,13.3,GEO,Europe,42,43.5
Germany,8.5,DEU,Europe,51,9
Ghana,30.9,GHA,Africa,8,-2
Greece,9.7,GRC,Europe,39,22
Greenland,14.50,GRL,America,77.267914,-41.992332
Grenada,19.3,GRD,America,12.1167,-61.6667
Guatemala,31,GTM,America,15.5,-90.25
Guinea,36.9,GIN,Africa,11,-10
Guinea Bissau,37.5,GNB,Africa,12,-15
Guyana,20.3,GUY,America,5,-59
Haiti,25.6,HTI,America,19,-72.4167
Honduras,25.8,NHD,America,15,-86.5
Hungary,9.9,HUN,Europe,47,20
Iceland,14.5,ICE,Europe,65,-20
India,20.4,IND,Asia,20,77
Indonesia,18.8,IDN,Asia,-5,120
Iran,18.8,IRN,Asia,32,53
Iraq,31.1,IRQ,Asia,33,44
Ireland,15.4,IRL,Europe,53,-8
Israel,20.3,ISR,Europe,31.5,34.75
Italy,9.2,ITA,Europe,42.8333,12.8333
Jamaica,18,JAM,America,18.25,-77.5
Japan,8.4,JPN,Asia,36,138
Jordan,27,JOR,Asia,31,36
Kazakhstan,20.5,KAZ,Asia,48,68
Kenya,34.9,KEN,Africa,1,38
Kiribati,23.3,KIR,Oceania,1.4167,173
Kuwait,20.6,KWT,Asia,29.3375,47.6581
Kyrgyzstan,27.1,KGZ,Asia,41,75
Laos,26.8,LAO,Asia,18,105
Latvia,11,LVA,Europe,57,25
Lebanon,13.4,LBN,Asia,33.8333,35.8333
Lesotho,27.5,LSO,Africa,-29.5,28.5
Liberia,35.5,LBR,Africa,6.5,-9.5
Libya,20.7,LBY,Africa,25,17
Lithuania,11.3,LTU,Europe,56,24
